question,answer,contexts,ground_truths
Can an employer or agency use an automated employment decision tool without notifying candidates or employees about job qualifications and characteristics used in the assessment?,,,"No, the law requires notification about the job qualifications and characteristics that the tool will use in the assessment of candidates or employees."
What are the notification requirements of local law 144?,,,"Under Local LAw 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them. This  notice shall must made at least ten business days before the use of an automated employment decision tools and allow a candidate to request an alternative selection process or accommodation. The notice must also include the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT t via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious."
Can imputed or inferred data be used for a bias audit?,,,"No, historical data must be used, but if there's insufficient data, test data can be used."
What is the responsibility of an employer or employment agency regarding information disclosure upon written request?,,,"The employer or agency must provide information about its AEDT data retention policy, the type of data collected, and the data source within 30 days of a written request by a candidate or employee."
What information must be made publicly available before the use of an AEDT?,,,"Before the use of an AEDT, an employer or employment agency must make publicly available on its website the date of the most recent bias audit, a summary of the results, and the distribution date of the AEDT."
Can companies hiring for different positions rely on a bias audit based on data from multiple employers?,,,"Yes, as long as they provided historical data or if it's the first time they are using the AEDT."
"What is the significance of the ""Distribution Date"" for an AEDT?",,,"The ""Distribution date"" is the date when the employer or employment agency began using a specific AEDT."
Are there any laws similar to local law 144?,,,"A00567 in New York State requires annual impartial disparate impact analysis of automated employment decision tools and the publication of a summary of the results of the bias audit and A07859 requires notifications within 10 business days of the use of an automated employment decision tools. In New Jersey, AB4909 requires annual impartial bias audits of automated employment decision tools and notification of the use of these tools within 30 days but targets vendors rather than employers/employment agencies like the New York City and New York State laws do. Only the New York City law has been enacted and enforced currently; the laws in New Jersey and New York State have only been proposed."
Who can initiate an action or proceeding for correction of a violation?,,,The corporation counsel or persons designated by the corporation counsel on behalf of the department may initiate an action or proceeding in any court of competent jurisdiction for correction of a violation.
To which tribunal is a proceeding to recover civil penalties returnable?,,,A proceeding to recover civil penalties is returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings.
Can companies providing historical data have hired for different positions?,,,"Yes, there is no requirement that the companies providing historical data used the AEDT for the same type of position."
How can notice be given under local law 144?,,,"Under Local Law 144, notice must be given for the use of an automated employment decision tool at least 10 business days before the use of the tool. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT t via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Any notices on the employment section of an employment agency's or employer's website must be clear and conspicious."
"How is the ""Impact Ratio"" calculated for an AEDT scoring candidates for employment or employees being considered for promotion?",,,"For continuous or regression systems, it is the scoring rate for a category divided by the scoring rate for the highest-scoring category. For classification or binary systems, it is the selection rate for a category divided by the selectino rate for the category with the highest selection rate."
What tools are covered under local law 144?,,,"Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons.This does not include a tool that does not automate, support, substantially assist or replace discretionary decision-making processes and that does not materially impact natural persons, including, but not limited to, a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other compilation of data."
"If notice is provided on the website, when can they start using an AEDT?",,,Employers and agencies can start using an AEDT 10 business days after posting notice on their website.
How does the law address the notification of employees or candidates about the use of an automated employment decision tool?,,,"Employers or agencies must provide notices at least ten business days before the tool's use, allowing candidates to request alternative processes or accommodations."
How long must an employer or employment agency keep the summary of results and distribution date posted after the latest use of an AEDT?,,,The summary of results and distribution date must be kept posted for at least 6 months after the latest use of the AEDT for an employment decision.
When does this local law take effect?,,,"This local law takes effect on January 1, 2023. Enforcement was meant to begin on 1 January 2023 but was postponed to 16 April 2023 by the DCWP before being postponed for a final time to 5 July 2023."
Can employers use an AEDT without a bias audit if their candidates are not NYC residents?,,,"The law applies to AEDT use ""in the city,"" which includes having an office in NYC, a fully remote job associated with an NYC office, or an employment agency located in NYC. If the law applies, a bias audit must be completed, and NYC resident candidates must be notified."
What is the significance of the distribution date in the publicly available summary?,,,"The distribution date indicates when the tool, subject to the bias audit, was made available for use."
Can an individual bring a civil action under this law?,,,"Yes, the provisions of this law do not limit the right of any candidate or employee for an employment decision to bring a civil action in any court of competent jurisdiction."
"What are the LawÕs requirements for an AEDT used ""in the city""?",,,"A bias audit must be completed before use, and New York City residents must receive notice."
Can a employer use historical data from other employers?,,,An employer or employment agency may rely on a bias audit using aggregated historical data from other entities if they either have not yet used the tool themselves or if they have also contributed to the aggregated data
"When can calculations exclude a sex, race/ethnicity, or intersectional category?",,,"If a category represents less than 2% of the data used, it can be excluded, but all other categories must be included in the calculations."
Can an employer or employment agency use an automated employment decision tool without conducting a bias audit?,,,"No, it is unlawful to use such a tool without a bias audit conducted within the last year if using it to evalaute employees for promotion or candidates for employment within new york city."
When is an employer or employment agency allowed to rely on test data for a bias audit?,,,An employer or employment agency may rely on test data if insufficient historical data is available for a statistically significant bias audit. The summary of results must explain why historical data was not used and describe how the test data was generated and obtained.
What information must be provided on the employer or employment agency's website regarding the AEDT's data retention policy?,,,"Information must include the AEDT's data retention policy, the type of data collected, and the data source, in a clear and conspicuous manner."
Does local law 144 have transparency requirements?,,,Local Law 144 imposes transpraency requirements in the form of a summary of the results of the bias audit that must published on the employer or employment agency's website and notification to employees or canidates for the use of an automated employment decision tool at least 10 business days before the tool is used.
What is excluded from the definition of an automated employment decision tool?,,,"Tools that do not automate, support, substantially assist, or replace discretionary decision-making processes and do not materially impact individuals, such as a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other data compilations."
Can an employer or agency use an automated employment decision tool without notifying candidates or employees?,,,"No, the law requires notification to individuals residing in the city about the use of the tool and related information at least 10 business days prior to use."
How can an employer or employment agency comply with the notice requirements for candidates for employment and employees being considered for promotion?,,,"Compliance can be achieved by providing notice on the employment section of the website, in job postings, or via U.S. mail or email at least 10 business days before the use of an AEDT. For employees, notice can also be given in a written policy that is given to employees."
What are the requirements of local law 144?,,,"Local Law 144 requires independent, impartial annual bias audits of automated employment decision tools used to evaluate candidates for employees for promotion or candidates for employment that reside in New York City. It also requires a summary of the results of the bias audit to be published on the employer or employment agency's website and notification to employees or canidates for the use of an automated employment decision tool at least 10 business days before the tool is used."
What are the criteria for excluding a category from bias audit calculations?,,,"If a category represents less than 2% of the data used for the bias audit, an independent auditor may exclude it, but the summary must include justification and information on the number of applicants and rates for the excluded category."
What is the timeframe for providing information about data collection upon a written request?,,,The information should be provided within 30 days of the written request by a candidate or employee.
What are the components of an AEDT as defined in the law?,,,"An AEDT uses machine learning, statistical modeling, data analytics, or artificial intelligence, assist in employment decisions, and substantially assist or replace discretionary decision-making."
What is an impact ratio under local law 144?,,,"Under Local Law 144, an impact ratio is either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category. It is the output of the metric that must be used to conduct the bias audit"
"When did Local Law 144 of 2021 take effect, and when does enforcement begin?",,,"It took effect on January 1, 2023, and enforcement begins on July 5, 2023."
What information must be provided on the employer or employment agency's website regarding the AEDT's data retention policy?,,,"Information must include the AEDT's data retention policy, the type of data collected, and the source of the data, in a clear and conspicuous manner."
Who is within the scope of local law 144?,,,"Local Law 144 targets employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool if they reside in New York City. To use an automated employment decision tool in the city means that the job location is in an office in New York City, at least part time, the job is fully remote but asspcoated with an office in New York City, or the employment agency or employer is located in New York City."
Can an employer or agency use an automated employment decision tool without providing information about the type of data collected?,,,"No, if not disclosed on the employer or agency's website, information about the type of data collected must be available upon written request by a candidate or employee."
What role does the corporation counsel play in enforcing this law?,,,"The corporation counsel or designated persons may initiate actions or proceedings in court for the correction of violations, including mandating compliance with the law."
What law prohibits employers and employment agencies from using an AEDT in NYC?,,,Local Law 144 of 2021.
"What does the term ""Screen"" mean in the context of an AEDT?",,,"""Screen"" means to make a determination about whether a candidate for employment or an employee being considered for promotion should be selected or advanced in the hiring or promotion process."
"How is an ""Employment Decision"" defined under local law 144?",,,"""Employment decision"" means the screening of candidates for employment or employees for promotion within the city."
How can an employer or employment agency comply with the notice requirements for candidates for employment and employees being considered for promotion?,,,"Compliance can be achieved by providing notice on the employment section of the website, in job postings, or via U.S. mail or email at least 10 business days before the use of an AEDT."
Do local law 144 bias audits have to be external?,,,"Local Law 144 requires impartial, independent bias audits by an independent auditor.  An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be conducted internally and must instead be carried out by an external third-party."
What is a scoring rate under local law 144?,,,"Under local law 144, a scoring rate ithe rate at which individuals in a category receive a score above the sampleÕs median score, where the score has been calculated by an AEDT."
What are the requirements for historical data in a bias audit?,,,"A bias audit must use historical data of the AEDT, and an employer or employment agency may rely on a bias audit using historical data from other entities under specific circumstances."
What are the requirements for using an automated employment decision tool in the city?,,,"An employer or employment agency must conduct a bias audit on the tool no more than one year before use, and a summary of the most recent audit results must be publicly available on the employer or agency's website prior to use."
Does DCWP have a list of approved independent auditors?,,,"No, the Law doesn't require approval, but auditors must be independent and meet specific criteria."
What penalties does an entity face for violating any provision of this subchapter?,,,"An entity violating any provision is liable for a civil penalty of up to $500 for the first violation, and not less than $500 nor more than $1,500 for each subsequent violation occurring on the same day."
Does local law 144 have penalties?,,,"Penalties for non-compliance with New York City Local Law 144 are $375 for the first violation, $500 for the first default, $1,350 for the second violation, $1,500 for the first default, $1,500 for the third and subsequent violations, and $1,500 for the third and subsequent default. Penalties can be incurred for failing to conduct an independent, impartial bias audit and publish a summary annually, as well as for failing to give notice. They are two separate violations."
What is the responsibility of an employer or agency regarding the distribution date in a publicly available bias audit summary?,,,The employer or agency must make publicly available the distribution date of the tool to which the most recent bias audit applies before the tool's use.
"How is the ""Impact Ratio"" calculated for a category in the context of scoring by an AEDT?",,,"For refression systems, it is the scoring rate for a category divided by the scoring rate for the highest scoring category. For classification systems, it is the selection rate for a category divided by the selection rate for the category with the highest rate."
What is the definition of an Automated Employment Decision Tool (AEDT)?,,,"An AEDT is a tool that substantially assists or replaces discretionary decision-making and relies solely on a simplified output, uses it as a weighted criterion, or uses it to overrule conclusions derived from other factors."
How can someone make a complaint about Law violations?,,,"Complaints can be submitted by contacting 311 or visiting the DCWP website, including details about the job posting, AEDT name, notice provided, and an explanation of the suspected violation."
Is there a threshold for determining whether an automated employment decision tools are biased under local law 144?,,,"Local Law 144 does not provide thresholds for determining whether bias is occuring during a bias audit. It only provides the metrics that must be used to calculate impact ratios. However, the metric for calculating impact ratios is similar to the four-fifths rule, particularly in the case of the classification metric. The four-fifths rule says that the hiring rate of one group must not be less than four-ffiths of the hiring rate of the group with the highest rate. Therefore, auditors can optionally extrapolate from the four-fifths rule and use the .80 threshold to identify exceptions, but this is not required."
Does local law 144 have notification requirements?,,,"Under Local Law 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them. This  notice shall must made at least ten business days before the use of an automated employment decision tools and allow a candidate to request an alternative selection process or accommodation. The notice must also include the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious."
Can employers use an AEDT without a bias audit if they do not have NYC residents as candidates?,,,"The law applies if the AEDT is used ""in the city,"" which includes having an office in NYC, a fully remote job associated with an NYC office, or an employment agency located in NYC."
Where should information about data collection and retention policies be available?,,,"If not disclosed on the employer or employment agencyÕs website, such information should be available upon written request by a candidate or employee."
What is a candidate for employment under Local Law 144?,,,"Candidate for employment means a person who has applied for a specific employment position by submitting the necessary information or items in the format required by the employer or employment agency.  If an AEDT is used to assess someone who is not an employee being considered for promotion and who has not applied for a specific position for employment, the bias audit and notice requirements do not apply. Therefore, automated employment decision tools to scan a resume bank, conduct outreach to potential candidates, or invite applications are not used to evaluate candidates for employment."
What entities can conduct a bias audit for an automated employment decision tool?,,,A bias audit must be conducted by an independent auditor.
What is the definition of an automated employment decision tool?,,,"An automated employment decision tool is any computational process derived from machine learning, statistical modeling, data analytics, or artificial intelligence that issues simplified output used to assist or replace discretionary decision-making for employment decisions affecting individuals."
Who can conduct an aedt bias audit?,,,"Local Law 144 requires impartial, independent bias audits by an independent auditor.  An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be self-conducted"
Can a violation of the notice requirements lead to a separate penalty?,,,"Yes, failure to provide any notice to a candidate or an employee in violation of specific notice requirements constitutes a separate violation."
Who enforces the NYC Human Rights Law related to discrimination claims involving AEDT use?,,,Discrimination claims involving AEDT use under the NYC Human Rights Law should be directed to the NYC Commission on Human Rights.
What options does a candidate have upon receiving notice about the use of an automated employment decision tool?,,,A candidate can request an alternative selection process or accommodation upon receiving notice about the use of the tool.
What options does a candidate have upon receiving notice about the use of an AEDT in the hiring or promotion process?,,,"A candidate can request an alternative selection process or a reasonable accommodation under other laws, if available, as instructed in the notice."
"Is an ""employment decision"" limited to the final hiring or promotion decision?",,,"No, it includes screening at any point in the hiring or promotion process where an AEDT is substantially used."
What are the metrics required for conduting bias audits under local law 144?,,,"Under Local Law 144, an independent auditor must calculate impact ratios for subgroups at both the standalone level (i.e., based on sex categories and race/ethnicity categories) and at the intersectional level at the intersection of race/ethnicity and sex e.g., Hispanic or Latino males. There is one metric for calculating impact ratios for regression or continuous systems and one for classification systems. For classification systems, the impact ratio must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate. For regression systems, the scoring rate must first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. Similar to with classification systems, the scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate."
Can an employer continue using an AEDT if more than a year has passed since the last bias audit?,,,"No, the law requires a bias audit at least once a year, and employers can only rely on a bias audit conducted within the past year."
What are the summary of results requirements for local law 144?,,,"Employers and employment agencies using automated employment decision tools to evaluate a candidate for employment or employee for promotion must publish a summary of the results of the independent bias audit. This summary must include the date of the most recent bias audit, the source and explanation of the data used to conduct the bias audit, the number of individuals that were in an unknown category, the number of applicants in each category, the selection and scoring rate of each category, and the impact ratios for all categories. If the bias audit used test data, the summary of results must explain why historical data was not used and and how the test data was generated and obtained. If a category that represented less than 2% of the data was excluded from the bias audit, the summary of results must also include the auditor's justification for excluding this category, as well as the number of applicants in the excluded category and the scoring rate or selection rate. This summary of results is required to be made publicly available on the employment section of the website of the employer or employment agency in a clear and conspicuous manner. This requirement may be met with an active hyperlink to a website containing the required summary of results and distribution date, provided that the link is clearly identified as a link to results of the bias audit. An employer or employment agency must keep the summary of results and distribution date posted for at least 6 months after its latest use of the AEDT for an employment decision."
Can an employer or agency use an automated employment decision tool if it has not been subject to a bias audit?,,,"No, it is unlawful to use such a tool unless it has been the subject of a bias audit conducted within the last year if using it to evaluate individuals in new york city."
What is a bias audit?,,,"An impartial evaluation by an independent auditor, including calculations of selection or scoring rates and impact ratios across various categories."
What is an aedt under local law 144?,,,"under Local Law 144, automated employment decision tools are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons. This does not include a tool that does not automate, support, substantially assist or replace discretionary decision-making processes and that does not materially impact natural persons, including, but not limited to, a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other compilation of data."
What does it mean to substantially assist or replace discretionary decision making under local law 144?,,,"Under Local Law 144, to substantially assist or replace discretionary decision making means to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or to use a simplified output to overrule conclusions derived from other factors including human decision-making."
What rights are preserved by the construction provision (¤ 20-874) of this subchapter?,,,"The provisions do not limit the right of any candidate or employee to bring a civil action, and they do not limit the authority of the commission on human rights to enforce the provisions of title 8."
What if employers have minimal historical data or do not collect demographic data from applicants?,,,Test data can be used for the bias audit if there's insufficient historical data.
Who needs to comply with local law 144?,,,"Employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool in New York City must comply with Local Law 144. To use an automated employment decision tool in the city means that the job location is in an office in New York City, at least part time, the job is fully remote but asspcoated with an office in New York City, or the employment agency or employer is located in New York City."
Who is responsible for complying with the Law's bias audit requirement?,,,Employers and employment agencies are responsible for ensuring no AEDT is used without a completed bias audit.
What was the timeline for local law 144?,,,"Local Law 144 was introduced in February 2020 and enacted in November 2021. It went into effect on 1 January 2023, but in September 2022, New York City's Department of Consumer and Worker Protection (DCWP) published rules for the enforcement of the law. A public hearing on these rules was scheduled for October 2022 but rescheduled to November 2022 due to capacity issues. Following the hearing, DCWP published a second version of the rules and announced the enforcement date was being pushed back to 15th April 2023. A second public hearing was held in January 2023 on the second rules before the final rules were adopted on 6th April 2023 and the enforcement date was pushed back a final time to 5 July 2023."
Does local law 144 target ai tools?,,,"Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons. Therefore, it does not just target artificial intelligence driven tools."
