question,answer,contexts,ground_truths
"How can you determine if a tool uses machine learning, statistical modeling, data analytics, or artificial intelligence?",,,"The tool must generate predictions or classifications, identify inputs and their importance, and improve accuracy through computer-based techniques. Examples include assessing a candidate's fit or likelihood of success."
What entities are authorized to conduct proceedings to recover civil penalties under this subchapter?,,,Proceedings to recover civil penalties are returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings.
Under what circumstances can an employer or agency refuse disclosure of information about the AEDT?,,,"Information disclosure can be refused if it would violate local, state, or federal law or interfere with a law enforcement investigation, as explained to the candidate or employee."
Can an employer or agency use an automated employment decision tool without making information about data collection available upon written request?,,,"No, information about data collection must be provided within 30 days of a written request by a candidate or employee."
What does it mean to screen someone under Local Law 144?,,,To screen a candidate under local law 144 means to make a determination about whether a candidate for employment or employee being considered for promotion should be selected or advanced in the hiring or promotion process
"How is the ""Scoring Rate"" defined for an AEDT?",,,"""Scoring Rate"" is the rate at which individuals in a category receive a score above the sampleÕs median score, as calculated by an AEDT."
How long do employers and agencies have to wait after posting notice on their website before using an AEDT for applicants?,,,They can start using an AEDT 10 business days after posting notice on their website.
What is Local Law 144 of 2021?,,,The law enacted in 2021 that prohibits employers and employment agencies in New York City from using an automated employment decision tool (AEDT) without a bias audit and required notices.
What is local law 144?,,,"Local Law 144 is a law in New York City that requires independent, impartial annual bias audits of automated employment decision tools used to evaluate candidates for employees for promotion or candidates for employment that reside in New York City. It also requires a summary of the results of the bias audit to be published on the employer or employment agency's website and notification to employees or canidates for the use of an automated employment decision tool at least 10 business days before the tool is used."
What does the bias audit include when AEDT selects candidates or classifies them?,,,"It includes calculating selection rates, impact ratios, and ensuring separate calculations for sex, race/ethnicity, and intersectional categories."
Do results of a bias audit require specific actions according to the Law?,,,"No, the Law requires a bias audit but doesn't mandate specific actions based on the results. However, employers must comply with anti-discrimination laws and rules."
What options does a candidate have upon receiving a notice about the use of an AEDT?,,,What options does a candidate have upon receiving a notice about the use of an AEDT?
What is the purpose of a bias audit for an automated employment decision tool?,,,"The purpose of a bias audit is to impartially evaluate the tool, including testing for disparate impact on individuals based on specified characteristics."
What calculations are required in a bias audit for an AEDT that selects candidates or employees for promotion and results in a classification?,,,"The bias audit must calculate the selection rate for each category and the impact ratio for each category, considering sex, race/ethnicity, and intersectional categories."
What action can the corporation counsel take to enforce compliance with local law 144?,,,The corporation counsel or designated persons can initiate an action or proceeding in any court of competent jurisdiction for the correction of violations and to mandate compliance.
What tools are covered by local law 144?,,,"Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons."
do local law 144 auditors have to be certified?,,,"Auditors do not have to be certified to conduct bias audits under Local Law 144, but they must be independent and capable of objective and impartial judgement. This is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT."
What does the bias audit summary include?,,,"It includes the date of the most recent bias audit, the source and explanation of the data used, the number of individuals in an unknown category, and the rates and impact ratios for all categories."
How often must employers perform a bias audit?,,,"Every year, and they can only rely on a bias audit for one year from the date it was conducted."
What should employers do if the bias audit indicates a disparate impact?,,,"While the law requires a bias audit, it does not mandate specific actions based on the results. Employers must, however, comply with all relevant anti-discrimination laws and rules. If a bias audit suggests a disparate impact, employers should carefully assess the situation and take appropriate steps to address any potential discriminatory practices."
What must the summary of results contain for local law 144?,,,"This summary must include the date of the most recent bias audit, the source and explanation of the data used to conduct the bias audit, the number of individuals that were in an unknown category, the number of applicants in each category, the selection and scoring rate of each category, and the impact ratios for all categories. If the bias audit used test data, the summary of results must explain why historical data was not used and and how the test data was generated and obtained. If a category that represented less than 2% of the data was excluded from the bias audit, the summary of results must also include the auditor's justification for excluding this category, as well as the number of applicants in the excluded category and the scoring rate or selection rate."
Do the LawÕs requirements apply to scanning a resume bank or conducting outreach?,,,"No, the requirements apply only to AEDT use for assessing candidates for hiring or promotion, where the tool is used to evaluate someone who has applied for a specific position."
What is an AEDT?,,,"An Automated Employment Decision Tool (AEDT) is a computer-based tool that utilizes machine learning, statistical modeling, data analytics, or artificial intelligence to assist or replace discretionary decision-making in employment decisions."
"What is the definition of an ""Impact Ratio"" in the context of an AEDT selecting candidates or employees for promotion?",,,"The ""Impact Ratio"" is either the selection rate or scoring rate for a category divided by the rate of the most selected or highest-scoring category, respectively."
What constitutes a separate violation in terms of automated employment decision tool use?,,,Each day on which the tool is used in violation of the law gives rise to a separate violation.
"What is the significance of the ""Impact Ratio"" in a bias audit?",,,"The ""Impact Ratio"" is used for assessing the disparate impact of an AEDT on different categories, such as sex, race/ethnicity, and intersectional categories."
what is an independent auditor under local law 144?,,,"An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT."
In what circumstances can an independent auditor exclude a category from the impact ratio calculations?,,,"An independent auditor may exclude a category that represents less than 2% of the data used for the bias audit, with the justification included in the summary of results."
What does the law require in terms of information disclosure about data collection for the automated employment decision tool?,,,"If not disclosed on the employer or agency's website, information about data collection, its source, and the data retention policy should be available upon written request by a candidate or employee."
What must an employer or employment agency do if an AEDT has not been subject to a bias audit within the past year?,,,"They are prohibited from using or continuing to use the AEDT until a bias audit is conducted, ensuring compliance with the one-year limit."
What are the key components of a bias audit according to the law?,,,"A bias audit must include calculations of selection or scoring rates, impact ratios across various categories, and be performed by an independent auditor capable of objective and impartial judgment."
How must employers and agencies provide notice of AEDT use?,,,"They must notify NYC residents 10 business days before using an AEDT, either in a job posting, by mail/email, or on the employment section of their website. For employees, notice can also be given in a written policy or procedure."
how is the impact ratio calculated for regression systems under local law 144??,,,"For regression systems, local law 144 requires the scoring rate to first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. The scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate."
What does the notice requirement entail for an employer or employment agency?,,,"The notice must include instructions for how an individual can request an alternative selection process or a reasonable accommodation, with no requirement for the employer or agency to provide an alternative selection process. The notice should also inform employees or candidates who resides in the city that an automated employment decision tool will be used to evaluate them, as well as the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious."
How long must employers keep the summary of bias audit results posted after AEDT use?,,,The summary and distribution date must be posted for at least 6 months after the latest use of the AEDT for an employment decision.
What is a selection rate under local law 144?,,,"Under Local law 144, a the selection rate means the rate at which individuals in a category are either selected to move forward in the hiring process or assigned a classification by an AEDT. Such rate may be calculated by dividing the number of individuals in the category moving forward or assigned a classification by the total number of individuals in the category who applied for a position or were considered for promotion."
"What is a ""statistically significant bias audit""?",,,"The Law doesn't set a specific requirement, and if an auditor deems data insufficient, test data may be used with a detailed explanation in the summary of results."
When did local law 144 start being enforced?,,,New York City Local Law 144 was enforced from 5 July 2023
What notices are required if an automated employment decision tool is used?,,,"Employers or employment agencies must notify employees or candidates residing in the city about the use of the tool, job qualifications and characteristics used in assessment, and provide information about data collected, its source, and the data retention policy upon written request."
"Who is considered a ""Candidate for Employment""?",,,"A ""Candidate for employment"" is a person who has applied for a specific employment position by submitting necessary information or items in the required format."
Can an employer or agency use an automated employment decision tool without notifying candidates or employees residing in the city?,,,"No, the law mandates notification to individuals residing in the city about the use of the tool and related information."
What does the bias audit include when AEDT scores candidates for employment or promotion?,,,"It includes calculating the median score, scoring rates, impact ratios, and ensuring separate calculations for sex, race/ethnicity, and intersectional categories."
Can a bias audit use historical data from another employerÕs use of the same AEDT?,,,"Yes, but only if the employer provided historical data to the independent auditor or if it's the first time the AEDT is used."
Can an employer provide an alternative selection process if requested?,,,"While the law does not require an alternative selection process, the notice must include instructions on how to request a reasonable accommodation under other laws."
how is the impact ratio calculated for binary systems under local law 144?,,,"For binary systems, the impact ratio for a local law 144 bias audit must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate"
Who can initiate actions or proceedings for correction of violations under this subchapter?,,,The corporation counsel or other persons designated by the corporation counsel on behalf of the department may initiate actions or proceedings in any court of competent jurisdiction for correction of any violation.
Can local law 144 bias audits be self-conducted?,,,"Local Law 144 requires impartial, independent bias audits by an independent auditor. An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be self-conducted"
Does local law 144 target vendors or employers?,,,"Under Local Law 144, employers or employment agencies using automated employment decision tools to evaluate candidates for employment or employees for promotion in New York City are liable for compliance. However, vendors of automated employment decision tools are allowed to get an independent audit of their tool or coordinate the collection of data to conduct an audit. The process can be collarboative between employers/employment agencies and vendors, but liability is with the employer/employment agency."
What is the timeframe for providing information about data collection upon request?,,,"The information should be provided within 30 days of the written request, unless disclosure would violate local, state, or federal law, or interfere with a law enforcement investigation."
How can an employer or employment agency provide notice to candidates for employment about the use of an AEDT?,,,"Notice can be provided on the employment section of its website, in job postings, or via U.S. mail or email at least 10 business days before the use of an AEDT."
What criteria must an independent auditor meet to be considered independent for an AEDT bias audit?,,,"An auditor must not be involved in using, developing, or distributing the AEDT, must not have an employment relationship with the AEDT user, and must not have a direct or material indirect financial interest in the AEDT user."
What is the distribution date of an AEDT?,,,It is the date the employer or employment agency began using a specific AEDT.
What is the notice requirement for AEDT use for candidates for promotion?,,,"Employers must provide notice at least 10 business days before using an AEDT through written policy or procedure, a job posting, or mail/email."
What information must be included in the summary of results of a bias audit using test data?,,,"The summary must explain why historical data was not used, describe how the test data was generated and obtained, and include the number of applicants, scoring rate, or selection rate for the excluded category if applicable."
Does local law 144 target developers or deployers?,,,"Local Law 144 targets employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool in New York City. It therefore applies to the deployers of the tool however, vendors, who are the developers of the tools, are allowed to get an independent audit of their tool or coordinate the collection of data to conduct an audit. Therefore, liability is with the deployer but commissioning a bias audit can be collaborative between developers and deployers"
What is a simplified output under local law 144?,,,"A simplified output is  a prediction or classification that  may take the form of a score (e.g., rating a candidateÕs estimated technical skills), tag or categorization (e.g., categorizing a candidateÕs resume based on key words, assigning a skill or trait to a candidate), recommendation (e.g., whether a candidate should be given an interview), or ranking (e.g., arranging a list of candidates based on how well their cover letters match the job description). It does note include the output from analytical tools that translate or transcribe existing text, e.g., convert a resume from a PDF or transcribe a video or audio interview."
"What is meant by ""Test Data"" in the context of a bias audit?",,,"""Test data"" refers to data used to conduct a bias audit that is not historical data collected during the employer or employment agency's use of an AEDT."
How will DCWP handle discrimination complaints related to AEDT use?,,,DCWP enforces the Law's prohibition on AEDT use without a bias audit and required notices. Discrimination claims related to AEDT use should be directed to the NYC Commission on Human Rights.
Can an employer or agency use an automated employment decision tool without making bias audit results publicly available?,,,"No, the law requires the results of the most recent bias audit and the distribution date of the tool to be made publicly available on the employer or agency's website before the tool's use."
Who must notice be given to under local law 144?,,,"Under Local Law 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them."
How can an employer or employment agency provide notice to an employee being considered for promotion about the use of an AEDT?,,,"Notice can be provided in a written policy or procedure, in a job posting, or via U.S. mail or email at least 10 business days before the use of an AEDT."
How is an AEDT different from traditional decision-making?,,,"AEDT relies on computer-based techniques to generate predictions or classifications, while traditional decision-making involves human discretion."
How does the law address the testing of an automated employment decision tool during a bias audit?,,,The bias audit includes testing the tool to assess its disparate impact on individuals based on certain characteristics required to be reported by employers.
Can a vendor do a bias audit of its own tool?,,,"A vendor can have an independent auditor perform a bias audit, but employers and agencies are ultimately responsible for compliance. Vendors cannot do their own internal audits of their tools."
Can employers use test data for a bias audit if there is insufficient historical data?,,,"Yes, employers can use test data if there is insufficient historical data for a statistically significant bias audit."
What is the requirement for an employer or employment agency regarding the use of an AEDT after a bias audit?,,,"An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit. From 5 July 2023, all employers or employment agencies using an AEDT to evaluate candidates for employment or employees for promotion in NYC must have a bias audit that is less than a year old."
"What does the term ""Category"" mean under local law 144?",,,"""Category"" refers to any component 1 category required to be reported by employers under section 2000e-8 of title 42 of the United States Code, as specified in part 1602.7 of title 29 of the Code of Federal Regulations."
What penalties apply for violating the requirements of using automated employment decision tools?,,,"Civil penalties range from not more than $500 for a first violation to not less than $500 nor more than $1,500 for each subsequent violation, with each day of violation considered a separate violation."
how is the impact ratio calculated for continuous systems under local law 144?,,,"For continuous systems, local law 144 requires the scoring rate to first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. The scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate."
s there a specific requirement for statistical significance in bias audits?,,,"The law does not set a specific requirement for statistical significance. If an independent auditor determines there is insufficient historical data, test data may be used. The summary of results must then explain why test data was used and provide details about the data source."
"What is the definition of ""Simplified Output""?",,,"""Simplified output"" refers to a prediction or classification generated by machine learning, statistical modeling, data analytics, or artificial intelligence, such as a score, tag, recommendation, or ranking."
how is the impact ratio calculated for classification systems under local law 144?,,,"For classification systems, local law 144 bias audits must calculate impact ratios by dividing the selection rate for a category by the selection rate of the category with the highest rate"
How does the law address the exclusion of a category from the impact ratio calculations in a bias audit?,,,"An independent auditor may exclude a category representing less than 2% of the data, with justification included in the summary of results. The impact ratio for excluded categories does not have to be included in the summary of results but the selection rate or scoring rate should be included, as well as the number of individuals in the excluded category."
"How is ""Machine learning, statistical modeling, data analytics, or artificial intelligence"" described by local law 144?",,,"It refers to mathematical, computer-based techniques that generate predictions or classifications and involve a computer identifying inputs, relative importance, and other parameters to improve accuracy."
Who can be an independent auditor?,,,"Someone with objective and impartial judgment, not affiliated with the AEDT's development or distribution and without a financial interest in the AEDT or its users."
Can a vendor be held responsible for a bias audit of the AEDT?,,,"The responsibility for ensuring a bias audit is done lies with the employers and employment agencies, not the vendor."
Have the metrics for conducting bias audits under local law 144 changed?,,,"Under Local Law 144, an independent auditor must calculate impact ratios, where the metric for calculating impact ratios is different for regression and classification systems.  For classification systems, the impact ratio must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate. This metric has stayed consistent. For regression systems, the scoring rate must first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. Similar to with classification systems, the scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate. However, a previous version of the metric for regression systems did not binarise scores and instead impact ratios were caluclated using the average score of individuals in each category, where the average score of individuals in a category was to be divided by the average score of the category with the highest score."
Are there specific requirements for test data?,,,"No, the Law allows flexibility, but the summary of results must include the source and explanation of the data used in the bias audit."
Can a bias audit use data from another employer's AEDT use?,,,"Yes, but the employer must have provided historical data from its use of the AEDT to the independent auditor conducting the bias audit."
Who is local law 144 enforced by?,,,New York City Local Law 144 is enforced by New York City's Department of Consumer and Worker Protection (DCWP)
"What does the term ""Bias Audit"" refer to?",,,"A ""Bias audit"" is an impartial evaluation by an independent auditor, involving testing an AEDT to assess its impact on different categories, such as sex, race/ethnicity, and intersectional categories."
Must employers publicly share the results of a bias audit?,,,"Yes, they must publish a summary of the most recent bias audit and the AEDT's distribution date."
How does the law address the potential interference with law enforcement investigations?,,,"Information about data collection and retention policies may not be disclosed if such disclosure would violate local, state, or federal law, or interfere with a law enforcement investigation."
What data should employers use for a bias audit?,,,"Historical data of the AEDT, which is the data collected during its use to assess candidates for employment or employees for promotion where available. If historical data is not available or not sufficient to conduct a statistically significant bias audit, then test data can be used"
What does an employment decision encompass?,,,An employment decision includes screening candidates for employment or employees for promotion within the city.
How is a civil penalty proceeding initiated under local law 144?,,,A proceeding to recover civil penalties is returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings
What constitutes an employment decision in the context of this law?,,,An employment decision involves screening candidates for employment or employees for promotion within the city.
What calculations are required in a bias audit for an AEDT that screens candidates or employees for promotion?,,,"The bias audit must calculate the selection or scoring rate and impact ratio for each category, considering sex, race/ethnicity, and intersectional categories."
Do employers or employment agencies have to provide an alternative selection procedure or accommodation?,,,"The notice given to candidates or employees must include instructions for how an individual can request an alternative selection process or a reasonable accommodation, with no requirement for the employer or agency to provide an alternative selection process."
In what circumstances can information about data collection be withheld upon written request?,,,"Information cannot be disclosed if such disclosure would violate local, state, or federal law, or interfere with a law enforcement investigation."
How many metrics are there for calculating impact ratios?,,,"There are two metrics for calculating impact ratios: one for classification systems and one for regression systems. The metric for classification systems uses selection rates and metric for regression systems uses scoring rates. In each case, the rate for a category is divided by the rate for the category with the highest rate."
How must bias audits be conducted under Local Law 144?,,,"A bias audit under Local LAw 144 is an impartial evaluation by an independent auditor that, at a minimum, must test an automated employment decision tool to assess the toolÕs disparate impact on persons of any component 1 category required to be reported by employers. The bias audit must calculate the selection rate or scoring rate for each category and use these to calculate impact ratios based on the required protected characteristic categories. Bias audits must examine impact ratios based on sex/gender and race/ethnicity at both the standalone level and intersectional level under local law 144. For ethnicity, the categories are Hispanic or Latino, White, Black or African American, Native Hawaiian or Pacific Islander, Asian, Native American or Alaska Native, and two or more races. For sex, categories are male and female. Where gender information is collected instead, the categories are male, female, and optionally other."
What does the notice to candidates include regarding alternative selection processes?,,,The notice includes instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws.
How can an employer or employment agency provide notice to a candidate for employment about the use of an AEDT?,,,"Notice can be provided on the employment section of the website, in a job posting, or via U.S. mail or email at least 10 business days before the use of an AEDT."
When must the notice about the use of an automated employment decision tool be provided?,,,"The notice must be given no less than ten business days before the use of the tool, allowing candidates to request an alternative selection process or accommodation."
Who can conduct bias audits under local law 144?,,,"New york City Local Law 144 bias audits must be conducted by an impartial, independent auditor. This is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT."
What information must be included in the notice to candidates and employees about AEDT use?,,,"The notice must include information about the AEDT data retention policy, the type of data collected, and the source of the data."
What is a bias audit?,,,"A bias audit is an impartial evaluation by an independent auditor, including testing an automated employment decision tool to assess its disparate impact on individuals based on certain characteristics required to be reported by employers."
